bigg_id;KeggID
athr__L;C05519
3spyr;C05528
oxag;C05533
nal2a6o;C05539
acamoxm;C05539
peng;C05551
arbtn_fe3;C05554
4ogm;C05572
34dhoxpeg;C05576
34dhmald;C05577
3mox4hpac;C05581
HC01522;C05585
3moxtyr;C05587
normete__L;C05589
3hoxpac;C05593
pheacgly;C05598
4h2kpi;C05601
melanin;C05606
pppn;C05629
5hoxindact;C05634
3hxkynam;C05636
48dhoxquin;C05637
5hxkynam;C05638
46dhoxquin;C05639
dhptdn;C05649
thptdn;C05650
5moxact;C05660
hicit;C05662
aproa;C05665
3hpcoa;C05668
2a3pp;C05672
slnt;C05684
selcys;C05688
seasmet;C05691
sel;C05697
selhcys;C05698
selcyst;C05699
C05708;C05708
HC01577;C05711
aprop;C05714
acybut;C05715
polglu;C05723
gtspmd;C05730
actACP;C05744
3ohexACP;C05746
3hhexACP;C05747
thex2eACP;C05748
3ooctACP;C05750
toct2eACP;C05751
3odecACP;C05753
tdec2eACP;C05754
3oddecACP;C05756
3hddecACP;C05757
tddec2eACP;C05758
3omrsACP;C05759
tmrs2eACP;C05760
3opalmACP;C05762
tpalm2eACP;C05763
uppg1;C05766
upp1;C05767
cpppg1;C05768
pre3a;C05772
cobya;C05773
rdmbzi;C05775
f430;C05777
scl;C05778
srch;C05778
apofetn;C05779
apotfen;C05780
phphtna;C05797
2hp6mp;C05802
3ophb;C05809
2oph;C05810
2ohph;C05811
2omph;C05812
2ombz;C05813
2ommb;C05814
2shchc;C05817
seramp;C05820
enter;C05821
3cmp;C05822
scys__L;C05824
slfcys;C05824
2coum;C05838
bdg2hc;C05839
iasp;C05840
nicrns;C05841
coumarin;C05851
2hyoxplac;C05852
2phetoh;C05853
m8mpdol;C05868
uGgl;C05892
uaaGgla;C05893
uaaGgtla;C05894
uagmda;C05897
uaagmda;C05898
bathorhodopsin;C05914
lumirhodopsin;C05915
metarhodopsin;C05916
HC01651;C05922
HC01652;C05923
mpt;C05924
dhpmp;C05925
h2mpt;C05927
sucglu;C05931
sucgsa;C05932
n4abutn;C05936
4hglusa;C05938
argp;C05945
e4hglu;C05947
CE4990;C05949
HC02203;C05953
HC02205;C05954
HC02207;C05955
HC02217;C05956
C05957;C05957
CE4876;C05958
CE0955;C05961
HC02180;C05963
CE1447;C05964
ppoh;C05979
clpn_cho;C05980
pail345p_cho;C05981
2hb;C05984
2hbut;C05984
3opcoa;C05989
HC01672;C05993
3hivcoa;C05998
3hibutcoa;C06000
hibcoa;C06000
3hib;C06001
mmtsa;C06002
2ahbut;C06006
23dhmp;C06007
2o3mpt;C06008
alac__S;C06010
u3hga;C06022
kdolipid4;C06024
kdo2lipid4;C06025
lipa;C06026
r3mmal;C06032
ohpb;C06054
phthr;C06055
4hthr;C06056
zeax;C06098
cytP450o;C06109
cytP450r;C06110
glutrna_gln;C06112
asptrna_asn;C06113
HC01700;C06114
digalside_cho;C06126
digalsgalside_cho;C06127
gd3_cho;C06133
gd2_cho;C06134
ga2_cho;C06135
gt1a_cho;C06138
gt1b_cho;C06140
gd1b_cho;C06141
btoh;C06142
1btol;C06142
HC01710;C06148
gam1p;C06156
S_gtrdhdlp;C06157
HC01712;C06157
1mpyr;C06178
pprdn;C06181
arbt;C06186
arbt6p;C06187
salcn6p;C06188
cdpg;C06189
3gmp;C06193
23cgmp;C06194
dimp;C06196
apppa;C06197
C06199;C06199
24dhhed;C06201
dhnpthld;C06205
cchoxod;C06210
fe3hox;C06227
fecrm;C06228
fe3dcit;C06229
feenter;C06230
ectoine;C06231
mobd;C06232
uacmamu;C06240
ad;C06244
btnCCP;C06250
kdo2lipid4L;C06251
dxyl;C06257
ficytb;C06260
dpterol;C06309
dptne;C06310
galt1p;C06311
C06314;C06314
C06315;C06315
pre6b;C06319
pre6a;C06320
bz12diol;C06321
ch15deccoa;C06322
acanth;C06332
C06350;C06350
hspmd;C06366
2doxg6p;C06369
acgal6p;C06376
galam6p;C06377
adphep_DD;C06397
adphep_LD;C06398
hgbyr;C06399
pre3b;C06406
pre4;C06407
pre8;C06408
pre5;C06416
octa;C06423
arach;C06425
lnlnca;C06427
HC02208;C06438
HC02213;C06439
xu1p__D;C06441
C06453;C06453
2dhglcn;C06473
HC02214;C06475
sertrna_sec;C06481
sectrna;C06482
tyrp;C06501
hgbam;C06503
co2dam;C06504
co1dam;C06505
adcobhex;C06507
adocbi;C06508
adocbip;C06509
agdpcbi;C06510
atrz;C06551
hatrz;C06552
pencilca;C06567
ttrcyc;C06570
vanlt;C06672
rfamp;C06688
fusa;C06694
aso3;C06697
ppt;C06701
ag;C06710
3hpimcoa;C06714
3opimcoa;C06715
dh3mchc;C06720
dh4mchc;C06729
4mcat;C06730
aacald;C06735
amacald;C06735
6hch1eccoa;C06749
p_xyl;C06756
4mbzalc;C06757
4mbzald;C06758
hmccms;C06760
4hoxoh;C06762
CE1310;C06809
d5kg;C06892
d5kgp;C06893
C06948;C06948
lido;C07073
tolbutamide;C07148
m_xyl;C07208
3mbzald;C07209
m_tol;C07211
3mbzalc;C07216
mincyc;C07225
nifedipine;C07266
iamoh;C07328
3mbald;C07329
CE6415;C07338
taxol;C07394
hmccm;C07478
2omcm;C07479
C07486;C07486
C07535;C07535
feoxam;C07597
tgua;C07648
5flura;C07649
